Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,480.0,8.0,32.0,1819.0,0.1,14.206999999999994,0.0,0.0,284.0481050014496,,,,,,,,,,,,,,,,,,,,,4.135807847136544,4.752220822760972,14.102845737520937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,577.0,9.0,97.0,1916.0,0.1,55.007000000000005,0.0,0.0,292.85312581062317,,,,,,,,,,,,,,,,,,,,,19.49488487123812,16.969529813966336,53.222387720543274,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,635.0,10.0,58.0,1974.0,0.1,37.105,0.0,0.0,298.49350905418396,,,,,,,,,,,,,,,,,,,,,14.713757111570306,11.59447305479125,36.324214191698125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,725.0,11.0,90.0,2064.0,0.1,64.20500000000001,0.0,0.0,306.6450045108795,,,,,,,,,,,,,,,,,,,,,25.501254197540685,19.403740475889087,62.033892874076635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,749.0,12.0,24.0,2088.0,0.1,9.605999999999995,0.0,0.0,309.1074984073639,,,,,,,,,,,,,,,,,,,,,2.7156296914784757,3.2971214447704673,9.55993519786505,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,784.0,13.0,35.0,2123.0,0.1,14.505999999999993,0.0,0.0,312.59620332717896,,,,,,,,,,,,,,,,,,,,,4.15006497595829,4.692696750554865,14.389512361051203,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,863.0,14.0,79.0,2202.0,0.1,60.806999999999995,0.0,0.0,319.8925175666809,,,,,,,,,,,,,,,,,,,,,24.183119051408198,19.713737848856336,59.01450358761039,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,915.0,15.0,52.0,2254.0,0.1,28.507000000000023,0.0,0.0,325.07866382598877,,,,,,,,,,,,,,,,,,,,,9.15614206183377,9.313146302375849,28.087026578915896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,963.0,16.0,48.0,2302.0,0.1,26.107000000000024,0.0,0.0,329.69133496284485,,,,,,,,,,,,,,,,,,,,,8.210514425176477,8.684780528101781,25.764398339872937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1014.0,17.0,51.0,2353.0,0.1,30.008000000000024,0.0,0.0,334.5411150455475,,,,,,,,,,,,,,,,,,,,,9.844262212877252,10.098420874747385,29.565043148396907,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1083.0,18.0,69.0,2422.0,0.1,41.809,0.0,0.0,340.90400862693787,,,,,,,,,,,,,,,,,,,,,13.804721633651265,13.758717727737604,40.93830988874566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1134.0,19.0,51.0,2473.0,0.1,31.80700000000002,0.0,0.0,345.9707787036896,,,,,,,,,,,,,,,,,,,,,11.008373518142287,10.665480417578554,31.308157958333453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1209.0,20.0,75.0,2548.0,0.1,47.705999999999996,0.0,0.0,352.90772223472595,,,,,,,,,,,,,,,,,,,,,18.74369461349431,14.410620158535174,46.39296243589727,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,52.0,1.0,52.0,2600.0,0.1,19.91000000000004,0.0,0.0,480.5996160507202,,,,,,,,,,,,,,,,,,,,,4.958803252757477,6.1602161232399,19.691505550451964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,238.0,2.0,186.0,2786.0,0.1,111.00699999999995,0.0,0.0,497.0532658100128,,,,,,,,,,,,,,,,,,,,,45.856351839377126,30.57356570022476,102.6829818385712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,388.0,3.0,150.0,2936.0,0.1,101.906,0.0,0.0,510.38236927986145,,,,,,,,,,,,,,,,,,,,,42.06598764872373,28.551711179149844,95.78758122756531,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
